Player ID,Username,First Name,Last Name,Race,Class,Level,Region,Guild,Weapon,Status,Join Date,ATK,DEF,SPD,HP,MP,Total Stat,Kills,Deaths,Quests Completed,Win Rate (%),Playtime (hrs), Gold Earned ,Is Premium,Gold Rank,Tier,Status Aktif,Performance,OP or Not,Recruitment Priority,Status Squad
PL0014,faye_108,Faye,Frostborn,Gnome,Necromancer,15,Eastmoor,Shadow Veil,Axe,Banned,5/17/2023,127,51,134,363,1870,312,453,188,276,71%,539," $63,346.00 ",Yes,453,Rookie,FALSE,Excellent,Normal,Medium,Elity Spy
PL0015,ewan_425,Ewan,Wolfsbane,Orc,Warrior,47,Eastmoor,Shadow Veil,Axe,Active,10/26/2018,105,141,81,4225,1976,327,1389,46,89,97%,7877," $631,609.00 ",No,183,Veteran,TRUE,Excellent,Normal,Medium,Squad Inti
PL0016,delia_882,Delia,Ashgrove,Dwarf,Bard,51,Darkwood,None,Axe,Inactive,5/23/2023,16,27,130,3640,2506,173,4567,683,200,87%,3708," $384,813.00 ",No,313,Elite,FALSE,Excellent,Normal,Medium,Elity Spy
PL0017,grim_850,Grim,Stoneback,Gnome,Rogue,55,Darkwood,Arcane Order,Sword,Inactive,12/26/2024,10,63,138,2931,2865,,4870,750,194,87%,," $374,988.00 ",Yes,316,Elite,FALSE,Excellent,Normal,High,Tactician
PL0018,aiden_847,Aiden,Shadowstep,Dragonborn,Ranger,91,Suncoast,Shadow Veil,Spear,Active,2/23/2019,112,124,145,179,382,381,2451,533,148,82%,2807," $700,363.00 ",Yes,150,Legend,TRUE,Excellent,Overpowered,High,Elity Spy
PL0019,ivan_104,Ivan,Coldwater,Orc,Mage,3,Ashenvale,Steel Fang,Spear,Retired,10/14/2018,31,57,96,1322,1851,184,4749,685,264,87%,5309," $469,301.00 ",No,270,Rookie,FALSE,Excellent,Normal,Medium,Elity Spy
PL0020,nolan_384,Nolan,Ironveil,Human,Necromancer,7,Frostheim,Iron Shield,Dagger,,4/19/2022,146,140,27,211,2833,313,1649,149,226,92%,," $152,375.00 ",Yes,420,Rookie,FALSE,Excellent,Normal,Medium,Reguler
PL0021,cedric_761,Cedric,Darkthorn,Orc,Mage,26,Eastmoor,Steel Fang,Bow,Inactive,2/2/2021,149,50,75,1023,2897,274,2873,558,112,0%,," $106,423.00 ",No,436,Veteran,FALSE,Poor,Normal,Low,Brawler
PL0022,tilda_971,Tilda,Lightfoot,Halfling,Monk,29,Eastmoor,Iron Shield,Wand,Active,5/17/2024,140,,78,3141,758,270,423,795,218,35%,9823," $58,595.00 ",Yes,456,Veteran,TRUE,Poor,Normal,Medium,Brawler
PL0023,rosa_446,Rosa,Ravencrest,Tiefling,Mage,39,Northland,Iron Shield,Dagger,Retired,2/21/2022,97,57,139,109,2132,293,3196,732,199,81%,5110," $228,593.00 ",Yes,385,Veteran,FALSE,Excellent,Normal,Medium,Elity Spy
PL0024,crix_626,Crix,Darkthorn,Tiefling,Bard,21,Silverdale,Arcane Order,Bow,Active,9/24/2024,37,38,105,1897,2274,180,451,521,177,0%,9761," $431,681.00 ",No,290,Rookie,TRUE,Poor,Normal,Low,Tactician
PL0025,rosa_995,Rosa,Ashgrove,Gnome,Necromancer,66,Ironpeak,Golden Leaf,Fists,Inactive,7/18/2024,110,19,112,3279,1354,241,3945,142,46,97%,7037," $202,945.00 ",No,399,Elite,FALSE,Excellent,Normal,Medium,Elity Spy
PL0026,seth_192,Seth,Wildhorn,Halfling,Necromancer,23,Ashenvale,Iron Shield,Wand,Retired,6/27/2021,133,65,39,2465,1025,237,2651,434,,86%,8791," $455,853.00 ",Yes,275,Rookie,FALSE,Excellent,Normal,Medium,Reguler
PL0027,cedric_672,Cedric,Flameborn,Human,Necromancer,77,Darkwood,Iron Shield,Bow,Inactive,8/4/2024,27,97,133,2660,556,257,137,18,91,88%,4126," $445,111.00 ",Yes,282,Legend,FALSE,Excellent,Normal,High,Elity Spy
PL0028,oryn_384,Oryn,Lightfoot,Tiefling,Paladin,58,Ironpeak,Shadow Veil,Fists,Inactive,4/20/2020,95,114,45,3044,1917,254,1154,830,29,58%,," $900,650.00 ",No,54,Elite,FALSE,Average,Normal,Medium,Tanker
PL0029,lira_866,Lira,Wolfsbane,Orc,Mage,67,Northland,Crimson Dawn,Sword,Active,5/26/2023,78,123,76,3341,931,277,1401,464,101,75%,4750," $610,938.00 ",Yes,198,Elite,TRUE,Excellent,Normal,High,Tanker
PL0030,leon_478,Leon,Ironveil,Halfling,Ranger,73,Silverdale,Iron Shield,Bow,Retired,9/15/2020,76,139,53,,372,268,1881,881,90,68%,5792," $110,151.00 ",No,433,Elite,FALSE,Average,Normal,Medium,Reguler
PL0031,grim_608,Grim,Wildhorn,Dragonborn,Warrior,31,Suncoast,Steel Fang,Axe,,1/18/2024,69,82,135,1943,2758,286,,655,276,87%,3185," $136,307.00 ",No,424,Veteran,FALSE,Excellent,Normal,Medium,Elity Spy
PL0032,dune_150,Dune,Grimstone,Human,Rogue,2,Eastmoor,None,Dagger,Active,7/23/2020,102,109,62,2990,304,273,667,739,8,47%,9553," $637,419.00 ",No,181,Rookie,TRUE,Average,Normal,Low,Brawler
PL0033,tara_758,Tara,Darkthorn,Dwarf,Paladin,1,Suncoast,Crimson Dawn,Staff,Active,10/2/2018,85,148,73,991,2097,306,1883,431,28,81%,3175," $558,606.00 ",Yes,220,Rookie,FALSE,Excellent,Normal,Medium,Brawler
PL0034,torin_631,Torin,Stoneback,Tiefling,Warrior,94,Frostheim,Shadow Veil,Sword,Active,1/17/2019,33,118,17,1929,1988,168,3550,679,271,84%,8712," $630,672.00 ",Yes,184,Legend,TRUE,Excellent,Normal,High,Reguler
PL0035,lyra_137,Lyra,Wolfsbane,Dwarf,Mage,86,Ashenvale,Shadow Veil,Bow,,10/13/2024,29,16,40,3743,695,85,1415,299,214,83%,2348," $739,463.00 ",Yes,134,Legend,FALSE,Excellent,Normal,High,Reguler
PL0036,nyx_949,Nyx,Coldwater,Elf,Paladin,78,Suncoast,None,Fists,Banned,7/4/2020,59,96,52,1781,2160,207,4068,655,264,86%,6224," $499,403.00 ",No,252,Legend,FALSE,Excellent,Normal,Medium,Reguler
PL0037,finn_122,Finn,Brightblade,Halfling,Warrior,23,Northland,Golden Leaf,Fists,Active,11/11/2018,117,25,131,4007,2012,273,4739,775,186,86%,2237," $573,092.00 ",Yes,215,Rookie,TRUE,Excellent,Normal,Medium,Elity Spy
PL0038,cael_120,Cael,Coldwater,Halfling,Rogue,69,Frostheim,Shadow Veil,Staff,Banned,4/26/2020,150,124,96,3669,2324,370,3904,152,106,96%,6089," $991,709.00 ",No,4,Elite,FALSE,Excellent,Normal,Medium,Elity Spy
PL0039,cedric_604,,Lightfoot,Gnome,Mage,83,Darkwood,Shadow Veil,Dagger,Active,9/18/2023,128,103,35,2201,1317,266,2296,427,298,84%,4022," $419,793.00 ",No,297,Legend,TRUE,Excellent,Normal,Medium,Reguler
PL0040,rosa_364,Rosa,Darkthorn,Human,Ranger,29,Silverdale,Golden Leaf,Staff,Active,2/3/2023,110,26,120,1625,2828,256,3983,454,7,90%,5410," $708,023.00 ",Yes,144,Veteran,TRUE,Excellent,Normal,Medium,Elity Spy
PL0041,aria_752,Aria,Moonwhisper,Dwarf,Warrior,87,Frostheim,None,Axe,Active,3/6/2019,38,103,29,524,2725,170,88,864,259,9%,8186," $110,358.00 ",No,432,Legend,TRUE,Poor,Normal,Medium,Reguler
PL0042,,Freya,Stormcall,Human,Mage,,Eastmoor,None,Bow,Active,9/18/2023,22,140,133,155,443,295,,793,74,50%,7765," $290,799.00 ",No,356,Rookie,TRUE,Average,Normal,Low,Elity Spy
PL0043,hana_536,Hana,Stoneback,Halfling,Paladin,84,Eastmoor,Shadow Veil,Staff,Active,2/11/2023,94,54,94,1622,,242,3610,302,176,92%,4388," $957,455.00 ",No,22,Legend,TRUE,Excellent,Normal,Medium,Elity Spy
PL0044,oryn_815,Oryn,Stormcall,Dragonborn,Monk,88,Northland,Steel Fang,Staff,Active,10/27/2020,78,55,141,3750,2935,274,2860,654,191,81%,1392," $170,044.00 ",No,414,Legend,TRUE,Excellent,Normal,Medium,Elity Spy
PL0045,ewan_452,Ewan,Darkthorn,Gnome,Bard,69,Silverdale,Arcane Order,Bow,Active,12/2/2018,31,52,48,627,331,131,2940,296,128,91%,3879," $730,610.00 ",No,137,Elite,TRUE,Excellent,Normal,Medium,Tactician
PL0046,vesper_123,Vesper,Nightfall,Elf,Necromancer,68,Suncoast,None,Staff,Active,3/23/2018,95,74,19,4259,2911,188,932,518,102,64%,5036," $173,793.00 ",Yes,412,Elite,TRUE,Average,Normal,Medium,Reguler
PL0047,brynn_159,Brynn,Goldweave,Dwarf,Paladin,91,Eastmoor,Steel Fang,Dagger,Active,5/26/2021,139,124,126,1587,,389,,573,184,86%,3941," $612,213.00 ",No,195,Legend,TRUE,Excellent,Overpowered,Medium,Elity Spy
PL0048,nova_478,Nova,Ashgrove,,Necromancer,2,Eastmoor,Crimson Dawn,Bow,Retired,9/24/2019,53,134,99,3797,1390,286,2941,299,14,91%,153," $522,412.00 ",Yes,239,Rookie,FALSE,Excellent,Normal,Medium,Elity Spy
PL0049,cedric_606,Cedric,Ravencrest,Orc,Paladin,98,Northland,Crimson Dawn,Bow,Active,4/21/2019,133,131,27,911,1391,291,3946,831,54,83%,6439," $791,345.00 ",No,113,Legend,TRUE,Excellent,Normal,Medium,Reguler
PL0050,opal_856,Opal,Stormcall,Dwarf,Ranger,67,Ashenvale,Crimson Dawn,Axe,Inactive,11/23/2021,120,57,72,4784,2075,249,4999,560,4,90%,9354," $752,665.00 ",No,126,Elite,FALSE,Excellent,Normal,Medium,Brawler
PL0051,freya_316,Freya,Goldweave,Human,Bard,47,Northland,None,Spear,Inactive,4/6/2021,120,83,21,2679,,,4374,463,164,90%,3664," $211,925.00 ",Yes,395,Veteran,FALSE,Excellent,Normal,Medium,Reguler
PL0052,gareth_180,Gareth,Flameborn,Gnome,Monk,37,,None,Dagger,Inactive,5/3/2018,32,125,27,574,702,,4242,497,,90%,9619," $901,161.00 ",Yes,51,Veteran,FALSE,Excellent,Normal,Medium,Reguler
PL0053,freya_702,Freya,Dawnrise,Tiefling,Mage,10,Ironpeak,None,Staff,Active,6/8/2018,83,55,78,1518,886,216,4970,349,290,93%,6161," $549,107.00 ",No,226,Rookie,TRUE,Excellent,Normal,Medium,Brawler
PL0054,aria_641,Aria,Silverbow,Human,Warrior,78,Suncoast,Golden Leaf,Spear,Active,6/15/2018,10,111,73,1292,1611,194,93,606,233,13%,2810," $103,761.00 ",No,439,Legend,TRUE,Poor,Normal,Medium,Ranger
PL0055,grim_728,Grim,Ravencrest,Dwarf,Warrior,86,Silverdale,None,Dagger,Banned,11/21/2019,31,138,140,1603,2649,309,1340,959,14,58%,120," $458,737.00 ",No,271,Legend,FALSE,Average,Normal,Medium,Squad Inti
PL0056,cael_374,Cael,Silverbow,Gnome,Mage,59,Eastmoor,Golden Leaf,Bow,Active,1/9/2024,130,51,132,3721,1004,313,704,311,202,69%,6192," $4,499.00 ",Yes,483,Elite,TRUE,Average,Normal,Medium,Elity Spy
PL0057,zara_617,Zara,Wildhorn,Tiefling,Bard,99,Frostheim,Crimson Dawn,Staff,Banned,6/9/2020,110,146,74,4741,2516,330,3994,188,53,96%,9659," $330,527.00 ",Yes,344,Legend,FALSE,Excellent,Normal,High,Tanker
PL0058,nyx_437,Nyx,Emberveil,Tiefling,Mage,76,Northland,Golden Leaf,Wand,Retired,8/18/2020,103,112,16,4489,2328,,4797,,6,93%,3634," $609,620.00 ",No,200,Legend,FALSE,Excellent,Normal,Medium,Tanker
PL0059,lyra_173,Lyra,Ironfist,Elf,Warrior,21,Ashenvale,None,Fists,Retired,7/1/2022,100,120,28,4633,2172,248,937,987,2,49%,2271," $689,730.00 ",Yes,155,Rookie,FALSE,Average,Normal,Medium,Tanker
PL0060,ivan_198,Ivan,Stoneback,Elf,Rogue,86,Silverdale,Golden Leaf,Sword,Retired,1/4/2022,117,56,101,2682,793,274,3735,279,99,93%,7673," $236,718.00 ",No,377,Legend,FALSE,Excellent,Normal,Medium,Elity Spy
PL0061,aiden_492,Aiden,Emberveil,Tiefling,Necromancer,45,Silverdale,Shadow Veil,Bow,Active,2/14/2022,36,41,13,3343,1457,90,4076,696,106,85%,4612," $603,924.00 ",No,202,Veteran,TRUE,Excellent,Normal,Medium,Reguler
PL0062,ewan_957,Ewan,Stoneback,,Rogue,15,Ashenvale,Shadow Veil,Sword,Active,6/6/2024,114,124,37,313,2917,275,1943,580,103,77%,1655," $517,814.00 ",No,241,Rookie,TRUE,Excellent,Normal,Medium,Reguler
PL0063,nova_668,Nova,Silverbow,Gnome,Rogue,8,Darkwood,Shadow Veil,Fists,Active,5/17/2019,60,93,131,3385,1427,284,4870,760,85,87%,5361," $3,782.00 ",Yes,484,Rookie,TRUE,Excellent,Normal,Medium,Elity Spy
PL0064,drak_920,Drak,Ravencrest,Dragonborn,Rogue,71,Darkwood,Golden Leaf,Bow,Inactive,5/5/2024,83,87,21,4924,632,191,1177,592,68,67%,6583," $440,999.00 ",No,287,Elite,FALSE,Average,Normal,Medium,Ranger
PL0065,grim_847,Grim,Ravencrest,Dwarf,Bard,13,Darkwood,Steel Fang,Staff,Inactive,3/16/2018,50,109,77,4622,354,236,3455,203,180,94%,8366," $561,649.00 ",Yes,218,Rookie,FALSE,Excellent,Normal,Medium,Tanker
PL0066,aria_911,Aria,Darkthorn,Dragonborn,Monk,43,Darkwood,None,Dagger,Active,3/7/2021,44,38,85,134,1128,167,489,293,235,63%,3990," $590,957.00 ",Yes,206,Veteran,TRUE,Average,Normal,Medium,Elity Spy
PL0067,nyx_441,Nyx,Bloodthorn,Tiefling,Bard,78,Ashenvale,Shadow Veil,Fists,Active,3/28/2022,108,95,148,2016,2953,351,1169,546,204,68%,," $723,128.00 ",No,139,Legend,FALSE,Average,Normal,Medium,Elity Spy
PL0068,percy_587,Percy,Ironfist,Human,Necromancer,59,Darkwood,Arcane Order,Dagger,Inactive,2/8/2024,142,121,126,1643,2486,389,3475,553,108,0%,5550," $806,207.00 ",Yes,101,Elite,FALSE,Poor,Normal,Medium,Tactician
PL0069,ewan_208,Ewan,Wildhorn,Dragonborn,Paladin,53,Silverdale,Shadow Veil,Staff,Inactive,4/26/2024,95,123,77,1594,825,295,1900,327,154,85%,5318," $97,928.00 ",No,441,Elite,FALSE,Excellent,Normal,Medium,Brawler
PL0070,oryn_564,Oryn,Wolfsbane,Dwarf,Mage,44,Eastmoor,None,Spear,Inactive,12/28/2019,19,37,58,1414,1638,114,3483,360,156,91%,," $712,799.00 ",Yes,140,Veteran,FALSE,Excellent,Normal,Medium,Reguler
PL0071,aiden_801,Aiden,Coldwater,,Bard,14,Ashenvale,Golden Leaf,Wand,Active,5/12/2018,70,36,26,990,915,132,4449,314,173,93%,2892," $645,682.00 ",Yes,176,Rookie,TRUE,Excellent,Normal,Medium,Ranger
PL0072,sable_626,Sable,Goldweave,Human,Necromancer,,Frostheim,Crimson Dawn,Spear,Active,10/10/2020,137,59,133,1131,2446,329,991,323,285,75%,3299," $338,166.00 ",No,339,Rookie,TRUE,Excellent,Normal,Medium,Elity Spy
PL0073,KIRA_679,Kira,Lightfoot,Halfling,Paladin,48,Eastmoor,None,Spear,Active,9/7/2023,79,29,39,1710,470,,1386,22,45,98%,7516," $334,038.00 ",Yes,342,Veteran,TRUE,Excellent,Normal,Medium,Reguler
PL0074,mira_554,Mira,Silverbow,Dragonborn,Ranger,79,Northland,Arcane Order,Fists,Retired,9/22/2019,60,83,143,936,155,286,2291,578,112,80%,1640," $343,573.00 ",Yes,333,Legend,FALSE,Excellent,Normal,High,Tactician
PL0075,tilda_693,Tilda,Flameborn,Dwarf,Paladin,73,Frostheim,Crimson Dawn,Fists,Inactive,3/22/2020,50,57,124,3049,87,,356,137,110,72%,6620," $187,135.00 ",Yes,406,Elite,FALSE,Excellent,Normal,High,Elity Spy
PL0076,nyx_322,Nyx,Emberveil,,Necromancer,55,Darkwood,Steel Fang,Spear,Active,8/23/2018,94,134,40,3817,2511,268,4609,,14,93%,1574," $598,158.00 ",No,205,Elite,TRUE,Excellent,Normal,Medium,Tanker
PL0077,cael_850,Cael,Ironfist,Gnome,Warrior,67,Frostheim,Iron Shield,Staff,Active,4/3/2021,150,49,38,792,,237,4346,287,101,94%,6612," $687,558.00 ",No,156,Elite,TRUE,Excellent,Normal,Medium,Reguler
PL0078,lyra_106,Lyra,Stoneback,Elf,Warrior,6,Ironpeak,Arcane Order,Dagger,Inactive,3/5/2018,63,116,105,4125,1857,284,,192,234,76%,4152," $273,640.00 ",Yes,364,Rookie,FALSE,Excellent,Normal,Medium,Tactician
PL0079,aldric_322,Aldric,Grimstone,Dwarf,Ranger,14,Darkwood,None,Dagger,Active,2/20/2019,19,16,84,663,1083,,337,971,83,26%,2570," $958,221.00 ",Yes,21,Rookie,TRUE,Poor,Normal,Medium,Elity Spy
PL0080,kael_442,Kael,Bloodthorn,Elf,Ranger,6,Suncoast,Golden Leaf,Staff,Active,1/8/2023,60,57,26,523,2390,143,2412,577,56,81%,3074," $663,012.00 ",Yes,168,Rookie,TRUE,Excellent,Normal,Medium,Ranger
PL0081,brynn_449,Brynn,Stoneback,Orc,Ranger,21,Frostheim,Shadow Veil,Sword,Banned,12/18/2018,51,114,40,2864,1943,205,4637,354,244,93%,1325," $323,751.00 ",Yes,345,Rookie,FALSE,Excellent,Normal,Medium,Reguler
PL0082,cael_842,Cael,Dawnrise,Tiefling,Bard,,Northland,None,Bow,Retired,11/2/2018,27,40,126,1331,2652,193,4353,781,230,85%,1690," $427,075.00 ",No,291,Rookie,FALSE,Excellent,Normal,Medium,Elity Spy
PL0083,drak_755,Drak,Stormcall,Tiefling,Bard,1,Frostheim,Iron Shield,Bow,Active,7/14/2021,55,48,88,4591,2348,191,3841,398,195,91%,7754," $681,262.00 ",No,159,Rookie,TRUE,Excellent,Normal,Medium,Elity Spy
PL0084,tilda_216,Tilda,Emberveil,Human,Paladin,87,Silverdale,Steel Fang,Dagger,Banned,7/22/2023,30,78,14,3662,955,122,2589,389,224,87%,," $759,563.00 ",No,125,Legend,FALSE,Excellent,Normal,Medium,Reguler
PL0085,ivan_846,Ivan,,Dragonborn,,31,Eastmoor,Golden Leaf,Axe,Banned,1/2/2024,71,27,18,4401,2028,116,4217,786,299,84%,3538," $809,708.00 ",No,100,Veteran,FALSE,Excellent,Normal,Medium,Ranger
PL0086,tara_475,Tara,Moonwhisper,Human,Necromancer,21,Suncoast,Golden Leaf,Fists,Inactive,12/5/2020,125,141,39,2390,2139,305,1406,506,28,74%,5054," $456,301.00 ",Yes,273,Rookie,FALSE,Excellent,Normal,Medium,Ranger
PL0087,kael_245,Kael,Emberveil,Dragonborn,Mage,43,Suncoast,Crimson Dawn,Fists,Active,10/6/2021,12,92,75,4908,486,179,4210,460,235,90%,3122," $552,192.00 ",Yes,223,Veteran,TRUE,Excellent,Normal,Medium,Tanker
PL0088,nova_465,Nova,Dawnrise,Human,Monk,63,Ashenvale,None,Spear,Retired,11/22/2020,122,111,108,4266,1928,341,1029,374,50,73%,6883," $408,029.00 ",Yes,301,Elite,FALSE,Excellent,Normal,High,Elity Spy
PL0089,freya_923,Freya,Brightblade,Gnome,Rogue,,Eastmoor,Steel Fang,Dagger,Active,5/12/2019,102,150,45,1762,184,297,2246,642,1,78%,3917," $575,625.00 ",Yes,213,Rookie,TRUE,Excellent,Normal,Medium,Reguler
PL0090,myra_236,Myra,Nightfall,Human,Paladin,25,Frostheim,Steel Fang,Spear,Active,11/21/2021,92,118,68,3175,2668,278,4612,461,270,91%,714," $631,917.00 ",Yes,182,Rookie,TRUE,Excellent,Normal,Medium,Tanker
PL0091,seth_781,Seth,Wolfsbane,Tiefling,Bard,71,Eastmoor,Arcane Order,Wand,Active,4/27/2019,70,10,76,110,1034,156,109,198,13,36%,8981," $761,233.00 ",No,122,Elite,TRUE,Poor,Normal,Medium,Tactician
PL0092,sable_469,Sable,Coldwater,Gnome,Necromancer,9,Ashenvale,Shadow Veil,Staff,Active,7/6/2022,26,28,30,2239,2399,84,1822,61,108,97%,2385," $793,446.00 ",No,109,Rookie,TRUE,Excellent,Normal,Medium,Reguler
PL0093,nyx_598,Nyx,Wolfsbane,Orc,Monk,7,Ironpeak,None,Staff,Retired,7/24/2024,82,102,81,118,2605,265,3965,909,,81%,3834," $388,067.00 ",Yes,312,Rookie,FALSE,Excellent,Normal,Medium,Brawler
PL0094,aria_413,Aria,Ironveil,Gnome,Ranger,65,Suncoast,Golden Leaf,Wand,Inactive,7/14/2021,15,65,76,4066,2938,156,676,415,32,62%,6617," $915,539.00 ",No,45,Elite,FALSE,Average,Normal,Medium,Ranger
PL0095,delia_743,Delia,Ravencrest,Human,Ranger,10,Suncoast,Arcane Order,Spear,Active,8/4/2021,107,98,22,2016,805,227,4591,196,143,96%,4206," $944,012.00 ",No,25,Rookie,TRUE,Excellent,Normal,Medium,Tactician
PL0096,cael_512,Cael,Grimstone,Human,Paladin,1,Darkwood,None,Fists,Active,8/21/2021,123,85,15,3156,531,223,3468,,273,94%,3993," $791,613.00 ",No,112,Rookie,TRUE,Excellent,Normal,Medium,Reguler
PL0097,cael_122,Cael,Coldwater,Halfling,Rogue,91,Darkwood,Iron Shield,Sword,Active,8/27/2019,147,103,47,4363,2489,297,2601,454,152,85%,6107," $960,499.00 ",No,19,Legend,TRUE,Excellent,Normal,Medium,Tanker
PL0098,ewan_349,Ewan,Wildhorn,Halfling,Rogue,27,Frostheim,Crimson Dawn,Spear,Retired,7/16/2020,83,115,92,3299,,290,1981,580,132,77%,8278," $520,675.00 ",Yes,240,Veteran,FALSE,Excellent,Normal,Medium,Elity Spy
PL0099,dune_664,Dune,Ashgrove,,Warrior,32,,Steel Fang,Sword,Active,9/24/2022,106,34,145,,184,285,969,507,169,0%,4371," $178,291.00 ",Yes,410,Veteran,TRUE,Poor,Normal,Medium,Elity Spy
PL0100,aldric_469,Aldric,Dawnrise,,Ranger,24,Ironpeak,Shadow Veil,Staff,Active,6/1/2024,32,109,75,4484,427,216,724,379,231,66%,3322," $581,184.00 ",Yes,210,Rookie,TRUE,Average,Normal,Medium,Tanker
PL0101,crix_572,Crix,Bloodthorn,Dragonborn,Rogue,,Silverdale,Golden Leaf,Dagger,Active,5/23/2018,16,103,133,3735,1722,252,2869,716,211,80%,6130," $64,772.00 ",No,452,Rookie,TRUE,Excellent,Normal,Medium,Elity Spy
PL0102,torin_820,Torin,Darkthorn,Elf,Bard,48,Ironpeak,Shadow Veil,Fists,Inactive,5/5/2021,38,56,99,3714,577,193,108,43,247,72%,4184," $598,809.00 ",No,204,Veteran,FALSE,Excellent,Normal,Medium,Elity Spy
PL0103,delia_255,Delia,Wildhorn,Orc,Bard,,Northland,Iron Shield,Sword,Retired,7/25/2021,47,92,113,428,1330,,451,358,172,56%,8394," $281,128.00 ",Yes,361,Rookie,FALSE,Average,Normal,Medium,Elity Spy
PL0104,kael_411,Kael,Stormcall,Dwarf,Bard,32,Darkwood,Golden Leaf,Bow,Inactive,6/16/2020,93,75,106,3527,1549,274,184,498,207,27%,9584," $82,559.00 ",No,446,Veteran,FALSE,Poor,Normal,Low,Elity Spy
PL0105,brynn_192,Brynn,Frostborn,Dragonborn,Rogue,36,Ashenvale,Arcane Order,Axe,Banned,7/24/2021,84,29,60,1779,,173,447,93,149,83%,1459," $919,133.00 ",No,42,Veteran,FALSE,Excellent,Normal,Medium,Tactician
PL0106,lira_961,Lira,Ravencrest,Elf,Mage,93,Eastmoor,Iron Shield,Bow,Active,11/6/2019,28,29,82,4787,2023,139,2321,913,161,72%,5851," $838,224.00 ",Yes,85,Legend,TRUE,Excellent,Normal,High,Reguler
PL0107,delia_570,Delia,Grimstone,Orc,Monk,26,Northland,Golden Leaf,Bow,Active,5/13/2018,136,104,68,1526,1754,308,497,537,57,48%,1078," $780,620.00 ",No,118,Veteran,TRUE,Average,Normal,Low,Brawler
